id,day,day_of_week,day_of_year,delivery_day,epex,hour,hour_of_year,is_dst,is_low_tariff_normal,is_low_tariff_south,month,month_year,timestamp,utctime,year,hour_of_day,created_date,updated_date,isp
76484,16,5,16,2026-01-16,0.0896200,0,361,0,1,1,1,"January 26","2026-01-16 00:00:00.000000","2026-01-15 23:00:00.000000",2026,1,"2026-01-19 11:29:16","2026-01-19 11:29:42",1
76485,16,5,16,2026-01-16,0.0833700,0,361,0,1,1,1,"January 26","2026-01-16 00:15:00.000000","2026-01-15 23:15:00.000000",2026,1,"2026-01-19 11:29:16","2026-01-19 11:29:42",2
76486,16,5,16,2026-01-16,0.0763300,0,361,0,1,1,1,"January 26","2026-01-16 00:30:00.000000","2026-01-15 23:30:00.000000",2026,1,"2026-01-19 11:29:16","2026-01-19 11:29:42",3
76487,16,5,16,2026-01-16,0.0745000,0,361,0,1,1,1,"January 26","2026-01-16 00:45:00.000000","2026-01-15 23:45:00.000000",2026,1,"2026-01-19 11:29:16","2026-01-19 11:29:42",4
76488,16,5,16,2026-01-16,0.0789900,1,362,0,1,1,1,"January 26","2026-01-16 01:00:00.000000","2026-01-16 00:00:00.000000",2026,2,"2026-01-19 11:29:16","2026-01-19 11:29:42",5
76489,16,5,16,2026-01-16,0.0751600,1,362,0,1,1,1,"January 26","2026-01-16 01:15:00.000000","2026-01-16 00:15:00.000000",2026,2,"2026-01-19 11:29:16","2026-01-19 11:29:42",6
76490,16,5,16,2026-01-16,0.0742000,1,362,0,1,1,1,"January 26","2026-01-16 01:30:00.000000","2026-01-16 00:30:00.000000",2026,2,"2026-01-19 11:29:16","2026-01-19 11:29:42",7
76491,16,5,16,2026-01-16,0.0716500,1,362,0,1,1,1,"January 26","2026-01-16 01:45:00.000000","2026-01-16 00:45:00.000000",2026,2,"2026-01-19 11:29:16","2026-01-19 11:29:42",8
76492,16,5,16,2026-01-16,0.0727400,2,363,0,1,1,1,"January 26","2026-01-16 02:00:00.000000","2026-01-16 01:00:00.000000",2026,3,"2026-01-19 11:29:16","2026-01-19 11:29:42",9
76493,16,5,16,2026-01-16,0.0720700,2,363,0,1,1,1,"January 26","2026-01-16 02:15:00.000000","2026-01-16 01:15:00.000000",2026,3,"2026-01-19 11:29:16","2026-01-19 11:29:42",10
