Time,Consumption,Production,EPEX,Actual usage,Base volume,Peak volume,Hedge Volume,Uncovered,Long,Short,Usage Cost,Delta Cost,Hedge Cost,Total Cost
0:00,180,-,0.1796500,180,250,-,250,(70),70,-,32.3370,-12.5755,0.0000,-12.5755
0:15,181,-,0.1634200,181,250,-,250,(69),69,-,29.5790,-11.2760,0.0000,-11.2760
0:30,183,-,0.1562300,183,250,-,250,(67),67,-,28.5901,-10.4674,0.0000,-10.4674
0:45,184,-,0.1473000,184,250,-,250,(66),66,-,27.1032,-9.7218,0.0000,-9.7218
1:00,185,-,0.1604500,185,250,-,250,(65),65,-,29.6833,-10.4293,0.0000,-10.4293
1:15,186,-,0.1520000,186,250,-,250,(64),64,-,28.2720,-9.7280,0.0000,-9.7280
1:30,188,-,0.1443800,188,250,-,250,(62),62,-,27.1434,-8.9516,0.0000,-8.9516
1:45,189,-,0.1411300,189,250,-,250,(61),61,-,26.6736,-8.6089,0.0000,-8.6089
2:00,190,-,0.1436600,190,250,-,250,(60),60,-,27.2954,-8.6196,0.0000,-8.6196
2:15,191,-,0.1445900,191,250,-,250,(59),59,-,27.6167,-8.5308,0.0000,-8.5308
2:30,192,-,0.1456900,192,250,-,250,(58),58,-,27.9725,-8.4500,0.0000,-8.4500
2:45,193,-,0.1421900,193,250,-,250,(57),57,-,27.4427,-8.1048,0.0000,-8.1048
3:00,194,-,0.1474300,194,250,-,250,(56),56,-,28.6014,-8.2561,0.0000,-8.2561
3:15,195,-,0.1480800,195,250,-,250,(55),55,-,28.8756,-8.1444,0.0000,-8.1444
3:30,196,-,0.1455300,196,250,-,250,(54),54,-,28.5239,-7.8586,0.0000,-7.8586
3:45,197,-,0.1407600,197,250,-,250,(53),53,-,27.7297,-7.4603,0.0000,-7.4603
4:00,197,-,0.1462600,197,250,-,250,(53),53,-,28.8132,-7.7518,0.0000,-7.7518
4:15,198,-,0.1493700,198,250,-,250,(52),52,-,29.5753,-7.7672,0.0000,-7.7672
4:30,198,-,0.1493400,198,250,-,250,(52),52,-,29.5693,-7.7657,0.0000,-7.7657
4:45,199,-,0.1519100,199,250,-,250,(51),51,-,30.2301,-7.7474,0.0000,-7.7474
5:00,199,-,0.1504200,199,250,-,250,(51),51,-,29.9336,-7.6714,0.0000,-7.6714
5:15,200,-,0.1525500,200,250,-,250,(50),50,-,30.5100,-7.6275,0.0000,-7.6275
5:30,200,-,0.1576500,200,250,-,250,(50),50,-,31.5300,-7.8825,0.0000,-7.8825
5:45,200,-,0.1618200,200,250,-,250,(50),50,-,32.3640,-8.0910,0.0000,-8.0910
6:00,180,-,0.1835700,180,250,-,250,(70),70,-,33.0426,-12.8499,0.0000,-12.8499
6:15,211,12,0.1890000,199,250,-,250,(51),51,-,37.6110,-9.6390,0.0000,-9.6390
6:30,242,25,0.1895900,217,250,-,250,(33),33,-,41.1410,-6.2565,0.0000,-6.2565
6:45,272,38,0.1895900,234,250,-,250,(16),16,-,44.3641,-3.0334,0.0000,-3.0334
7:00,303,50,0.2014300,253,250,-,250,3,-,3,50.9618,0.6043,0.0000,0.6043
7:15,334,62,0.2005200,272,250,-,250,22,-,22,54.5414,4.4114,0.0000,4.4114
7:30,365,75,0.1928400,290,250,-,250,40,-,40,55.9236,7.7136,0.0000,7.7136
7:45,396,88,0.1959100,308,250,-,250,58,-,58,60.3403,11.3628,0.0000,11.3628
8:00,427,100,0.1953200,327,250,-,250,77,-,77,63.8696,15.0396,0.0000,15.0396
8:15,458,116,0.1897400,342,250,250,500,(158),158,-,64.8911,-29.9789,0.0000,-29.9789
8:30,488,132,0.1664800,356,250,250,500,(144),144,-,59.2669,-23.9731,0.0000,-23.9731
8:45,519,148,0.1451800,371,250,250,500,(129),129,-,53.8618,-18.7282,0.0000,-18.7282
9:00,550,164,0.1768100,386,250,250,500,(114),114,-,68.2487,-20.1563,0.0000,-20.1563
9:15,538,180,0.1516200,358,250,250,500,(142),142,-,54.2800,-21.5300,0.0000,-21.5300
9:30,525,196,0.1305700,329,250,250,500,(171),171,-,42.9575,-22.3275,0.0000,-22.3275
9:45,512,212,0.1195100,300,250,250,500,(200),200,-,35.8530,-23.9020,0.0000,-23.9020
10:00,500,228,0.1393900,272,250,250,500,(228),228,-,37.9141,-31.7809,0.0000,-31.7809
10:15,488,244,0.1230000,244,250,250,500,(256),256,-,30.0120,-31.4880,0.0000,-31.4880
10:30,475,260,0.1206400,215,250,250,500,(285),285,-,25.9376,-34.3824,0.0000,-34.3824
10:45,462,276,0.1110100,186,250,250,500,(314),314,-,20.6479,-34.8571,0.0000,-34.8571
11:00,450,292,0.1258800,158,250,250,500,(342),342,-,19.8890,-43.0510,0.0000,-43.0510
11:15,438,308,0.1160500,130,250,250,500,(370),370,-,15.0865,-42.9385,0.0000,-42.9385
11:30,425,324,0.1136400,101,250,250,500,(399),399,-,11.4776,-45.3424,0.0000,-45.3424
11:45,412,340,0.1097700,72,250,250,500,(428),428,-,7.9034,-46.9816,0.0000,-46.9816
12:00,360,476,0.1175200,(116),250,250,500,(616),616,-,-13.6323,-72.3923,0.0000,-72.3923
12:15,366,492,0.1110200,(126),250,250,500,(626),626,-,-13.9885,-69.4985,0.0000,-69.4985
12:30,372,508,0.1148500,(136),250,250,500,(636),636,-,-15.6196,-73.0446,0.0000,-73.0446
12:45,378,524,0.1064300,(146),250,250,500,(646),646,-,-15.5388,-68.7538,0.0000,-68.7538
13:00,384,540,0.1139400,(156),250,250,500,(656),656,-,-17.7746,-74.7446,0.0000,-74.7446
13:15,388,537,0.1027700,(149),250,250,500,(649),649,-,-15.3127,-66.6977,0.0000,-66.6977
13:30,392,533,0.0972600,(141),250,250,500,(641),641,-,-13.7137,-62.3437,0.0000,-62.3437
13:45,396,530,0.0950500,(134),250,250,500,(634),634,-,-12.7367,-60.2617,0.0000,-60.2617
14:00,398,527,0.0984300,(129),250,250,500,(629),629,-,-12.6975,-61.9125,0.0000,-61.9125
